orig_row_number,arrest_date,apprehension_site_landmark,arrest_street_custodial,arrest_criminality,bln_arrest_charge_code,bln_charge,bln_charge_group_code,bln_charge_group,bln_charge_special,detention_facility,detention_state,detention_city,detention_county,detainer_facility,detainer_county,birth_year,citizenship_country,case_status_recoded,departed_date,departure_country,gender,is_last_arrest,bln_person_id
24,2025-08-19,"SAA GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,SANTA ANA DRO HOLDROOM,CALIFORNIA,Santa Ana,Orange County,,,1975,MEXICO,Removed,2025-09-18T00:00:00Z,MEXICO,Male,TRUE,00037a21ea
58,2025-03-25,North Santa Barbara County Jail,At-large,1 Convicted Criminal,5012,Probation Violation,50,Obstruct,,SANTA MARIA SUB OFFICE ERO,CALIFORNIA,Santa Maria,Santa Barbara County,SANTA BARBARA COUNTY JAIL,Santa Barbara County,1989,MEXICO,Removed,2025-04-09T00:00:00Z,MEXICO,Male,TRUE,0008a7ffdb
89,2024-12-02,FEDERAL PRISON LOMPOC LOW,Custodial,1 Convicted Criminal,1602,Threat Terroristic State Offenses,16,Threats,Violent,SANTA MARIA SUB OFFICE ERO,CALIFORNIA,Santa Maria,Santa Barbara County,LOMPOC USP,Santa Barbara County,1984,GUATEMALA,Removed,2025-01-20T00:00:00Z,GUATEMALA,Male,TRUE,000f0f1308
102,2024-09-06,FEDERAL PRISON LOMPOC MEDIUM,Custodial,1 Convicted Criminal,35AB,Drug Trafficking,35,Dangerous Drugs,Drugs,SANTA MARIA SUB OFFICE ERO,CALIFORNIA,Santa Maria,Santa Barbara County,,,1980,MEXICO,Removed,2024-09-06T00:00:00Z,MEXICO,Male,TRUE,00113538f6
116,2025-03-04,"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,,,,,,,1992,NICARAGUA,Active case,,,Female,TRUE,0013fd23ad
123,2025-05-14,"SMA GENERAL AREA, NON-SPECIFIC",At-large,1 Convicted Criminal,5404,Driving Under Influence Liquor,54,Traffic Offense,Traffic,SANTA MARIA SUB OFFICE ERO,CALIFORNIA,Santa Maria,Santa Barbara County,LOS ANGELES MET.DET.CTR.,Los Angeles County,1986,EL SALVADOR,Active case,,,Male,TRUE,0014e59a68
156,2025-02-04,"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,LOS CUST CASE,CALIFORNIA,San Pedro,Los Angeles County,,,1983,HONDURAS,Removed,2025-02-07T00:00:00Z,HONDURAS,Male,TRUE,001c5f76bd
172,2023-09-29,"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,,,,,,,2014,NICARAGUA,Active case,,,Female,TRUE,001ef4c5b4
178,2025-08-13,"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",Custodial,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,LOS CUST CASE,CALIFORNIA,San Pedro,Los Angeles County,,,1982,MEXICO,Voluntary return,2025-10-02T00:00:00Z,MEXICO,Male,TRUE,001ff13345
210,2024-02-13,"SAA GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,,,,,,,1985,RUSSIA,Active case,,,Female,TRUE,0024fffbd1
216,2025-08-09,"SBD GENERAL AREA, NON-SPECIFIC",Custodial,1 Convicted Criminal,3599,Dangerous Drugs,35,Dangerous Drugs,Drugs,SAN BERNARDINO HOLD ROOM,CALIFORNIA,San Bernardino,San Bernardino County,USM SANTA ANA,Orange County,1980,MEXICO,,,,Male,FALSE,0025a649ae
217,2025-08-13,"SBD GENERAL AREA, NON-SPECIFIC",Custodial,1 Convicted Criminal,3599,Dangerous Drugs,35,Dangerous Drugs,Drugs,SAN BERNARDINO HOLD ROOM,CALIFORNIA,San Bernardino,San Bernardino County,USM SANTA ANA,Orange County,1980,MEXICO,Active case,,,Male,TRUE,0025a649ae
244,2025-06-09,"SAA GENERAL AREA, NON-SPECIFIC",At-large,1 Convicted Criminal,2299,Burglary,22,Burglary,,SANTA ANA DRO HOLDROOM,CALIFORNIA,Santa Ana,Orange County,,,1976,MEXICO,Removed,2025-06-12T00:00:00Z,MEXICO,Male,FALSE,0029a8f391
253,2025-06-30,"SBD GENERAL AREA, NON-SPECIFIC",At-large,2 Pending Criminal Charges,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,SAN BERNARDINO HOLD ROOM,CALIFORNIA,San Bernardino,San Bernardino County,,,1971,MEXICO,Voluntary return,2025-09-17T00:00:00Z,MEXICO,Male,TRUE,002b857937
267,2023-12-05,"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,LOS CUST CASE,CALIFORNIA,San Pedro,Los Angeles County,,,2006,GUATEMALA,Removed,2023-12-06T00:00:00Z,GUATEMALA,Female,TRUE,002e118522
288,2025-09-24,"FUG OPS - LOS ANGELES, CA STATE",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,LOS CUST CASE,CALIFORNIA,San Pedro,Los Angeles County,,,1989,MEXICO,Removed,2025-09-25T00:00:00Z,MEXICO,Female,TRUE,003281f760
293,2025-10-05,"FUG OPS - LOS ANGELES, CA STATE",At-large,2 Pending Criminal Charges,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,LOS CUST CASE,CALIFORNIA,San Pedro,Los Angeles County,,,1999,GUATEMALA,Active case,,,Male,TRUE,00337d1fac
323,2025-09-19,"CALIFORNIA REHABILITATION CENTER NORCO, CA",Custodial,1 Convicted Criminal,1001,Kidnap Minor For Ransom,10,Kidnapping,Violent,SAN BERNARDINO HOLD ROOM,CALIFORNIA,San Bernardino,San Bernardino County,,,1971,MEXICO,Removed,2025-09-19T00:00:00Z,MEXICO,Male,TRUE,0038db109e
329,2025-07-11,"SANTA ANA FEDERAL BUILDING, 34 CIVIC CENTER PLAZA",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,SANTA ANA DRO HOLDROOM,CALIFORNIA,Santa Ana,Orange County,,,1983,MEXICO,Voluntary return,2025-10-02T00:00:00Z,MEXICO,Female,TRUE,0039c93bd3
342,2024-09-30,"SAA GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,SANTA ANA DRO HOLDROOM,CALIFORNIA,Santa Ana,Orange County,,,2013,HONDURAS,Active case,,,Male,FALSE,003bb046e0
343,2024-12-03,"SAA GENERAL AREA, NON-SPECIFIC",At-large,3 Other Immigration Violator,0000,No criminal conviction,00,No criminal conviction,No criminal conviction,SANTA ANA DRO HOLDROOM,CALIFORNIA,Santa Ana,Orange County,,,2013,HONDURAS,Active case,,,Male,TRUE,003bb046e0
